,name,address,near_station,built_year,built_floors,floor,rent_fee,manegement_fee,deposit,gratuity,layout,exclusive_area
0,星が丘マンション,神奈川県相模原市中央区星が丘２,ＪＲ横浜線/相模原駅 バス12分 (バス停)千代田十字路 歩3分,築30年,4階建,4階,2.9万円,2000円,2.9万円,-,1K,17.12m2
1,ＪＲ横浜線 橋本駅 2階建 築35年,神奈川県相模原市緑区下九沢,ＪＲ横浜線/橋本駅 歩18分,築35年,2階建,2階,3万円,1000円,-,-,1K,15.3m2
2,ぱれすこーと,神奈川県相模原市緑区下九沢,ＪＲ横浜線/橋本駅 歩18分,築35年,2階建,2階,3万円,1000円,-,-,ワンルーム,15.3m2
3,アネックス荒井,神奈川県川崎市麻生区片平１,小田急多摩線/五月台駅 歩10分,築32年,3階建,1階,2.9万円,3000円,-,-,1K,17.41m2
4,アネックス荒井,神奈川県川崎市麻生区片平１,小田急多摩線/五月台駅 歩10分,築32年,3階建,2階,2.9万円,3000円,-,-,1K,17.41m2
5,アネックス荒井,神奈川県川崎市麻生区片平１,小田急多摩線/五月台駅 歩10分,築32年,3階建,3階,2.9万円,3000円,-,-,1K,17.41m2
6,ブルーライン 弘明寺駅 2階建 築16年,神奈川県横浜市南区大岡１,ブルーライン/弘明寺駅 歩10分,築16年,2階建,1階,3万円,2000円,1.5万円,-,ワンルーム,16.2m2
7,プラザドゥバイロンＡ,神奈川県茅ヶ崎市東海岸北１,ＪＲ東海道本線/茅ヶ崎駅 歩9分,築34年,2階建,1階,3.2万円,2000円,3.2万円,3.2万円,1K,13.6m2
8,プラザドゥバイロンＡ,神奈川県茅ヶ崎市東海岸北１,ＪＲ東海道本線/茅ヶ崎駅 歩9分,築34年,2階建,1階,3.2万円,-,3.2万円,3.2万円,1K,13.6m2
9,プラザドゥバイロンＡ,神奈川県茅ヶ崎市東海岸北１,ＪＲ東海道本線/茅ヶ崎駅 歩9分,築34年,2階建,2階,3.3万円,2000円,3.3万円,3.3万円,1K,13.6m2
10,ＪＲ東海道本線 茅ヶ崎駅 2階建 築36年,神奈川県茅ヶ崎市堤,ＪＲ東海道本線/茅ヶ崎駅 バス22分 (バス停)南大平 歩2分,築36年,2階建,1階,3.2万円,1000円,-,-,ワンルーム,18.55m2
11,ＪＲ東海道本線 茅ヶ崎駅 2階建 築36年,神奈川県茅ヶ崎市堤,ＪＲ東海道本線/茅ヶ崎駅 バス22分 (バス停)南大平 歩2分,築36年,2階建,2階,3.2万円,1000円,-,-,ワンルーム,18.55m2
12,小田急小田原線 本厚木駅 13階建 築28年,神奈川県厚木市元町,小田急小田原線/本厚木駅 歩11分,築28年,13階建,4階,3.5万円,-,3.5万円,-,1K,16.74m2
13,小田急小田原線 本厚木駅 13階建 築28年,神奈川県厚木市元町,小田急小田原線/本厚木駅 歩11分,築28年,13階建,2階,2.9万円,4000円,-,-,1K,17.36m2
14,小田急小田原線 本厚木駅 13階建 築28年,神奈川県厚木市元町,小田急小田原線/本厚木駅 歩11分,築28年,13階建,2階,3.5万円,3000円,3.5万円,-,1K,16.53m2
15,小田急小田原線 本厚木駅 13階建 築28年,神奈川県厚木市元町,小田急小田原線/本厚木駅 歩11分,築28年,13階建,2階,3.5万円,3000円,3.5万円,-,1K,16.53m2
